Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FT,RT,Result,RuleChange
Worlds,Mens,60m,2014,Sopot,2,2,NA,Bingtian SU,6.57,0.18,FastestQualifier,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Dwain CHAMBERS,6.58,0.138,FastestQualifier,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Warren FRASER,6.59,0.151,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Hassan TAFTIAN,6.67,0.171,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Fabio CERUTTI,6.71,0.136,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,2,NA,Gavin SMELLIE,6.74,0.124,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Marvin BRACY,6.52,0.149,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Gerald PHIRI,6.57,0.154,Qualified,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Adam HARRIS,6.59,0.161,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Lucas JAKUBCZYK,6.6,0.158,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Dariusz KUC,6.6,0.144,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Brijesh LAWRENCE,6.68,0.152,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Barakat Mubarak AL-HARTHI,6.68,0.149,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,2,3,NA,Peimeng ZHANG,6.7,0.146,Eliminated,2010-2014
Worlds,Mens,60m,2014,Sopot,3,1,NA,Richard KILTY,6.49,0.12,Gold,2010-2014
Worlds,Mens,60m,2014,Sopot,3,1,NA,Marvin BRACY,6.51,0.138,Silver,2010-2014
Worlds,Mens,60m,2014,Sopot,3,1,NA,Femi OGUNODE,6.52,0.16,Bronze,2010-2014
Worlds,Mens,60m,2014,Sopot,3,1,NA,Bingtian SU,6.52,0.147,Finalist,2010-2014
Worlds,Mens,60m,2014,Sopot,3,1,NA,Gerald PHIRI,6.52,0.141,Finalist,2010-2014
Worlds,Mens,60m,2014,Sopot,3,1,NA,Dwain CHAMBERS,6.53,0.139,Finalist,2010-2014
Worlds,Mens,60m,2014,Sopot,3,1,NA,Nesta CARTER,6.57,0.129,Finalist,2010-2014
Worlds,Mens,60m,2014,Sopot,3,1,NA,Kimmari ROACH,6.58,0.159,Finalist,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,1,NA,Peter EMELIEZE,6.85,0.236,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,1,NA,Gerald PHIRI,6.86,0.216,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,1,NA,Nilson ANDRE,6.86,0.151,FastestQualifier,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,1,NA,Foo Ee YEO,6.9,0.157,FastestQualifier,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,1,NA,Masbah AHMMED,7.04,0.2,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,1,NA,Cristian LEGUIZAMON,7.13,0.399,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,1,NA,Chris Meke WALASI,7.47,0.258,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,1,NA,Ghislain NSIMBA MANDUALIKA,7.47,0.21,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,2,NA,Emmanuel BIRON,6.68,0.167,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,2,NA,Christian BLUM,6.74,0.137,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,2,NA,Idrissa ADAM,6.96,0.262,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,2,NA,Raihau MAIAU,7.18,0.3,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,2,NA,Rodman TELTULL,7.2,0.165,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,2,NA,Ibrahim KABIA,7.33,0.414,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,2,NA,Valeriy PONOMAREV,7.38,0.326,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,2,NA,Innocent BOLOGO,NA,NA,DNS,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,3,NA,Simone COLLIO,6.68,0.149,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,3,NA,Brijesh LAWRENCE,7,0.393,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,3,NA,Sibusiso MATSENJWA,7.04,0.175,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,3,NA,Lerone CLARKE,7.05,0.42,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,3,NA,Federico GORRIERI,7.54,0.156,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,3,NA,Nooa TAKOOA,7.57,0.426,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,3,NA,Dayne O'HARA,7.75,0.282,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,4,NA,Angel David RODRIGUEZ,6.64,0.173,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,4,NA,Nesta CARTER,6.74,0.246,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,4,NA,Ben Youssef MEITE,6.77,0.277,FastestQualifier,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,4,NA,Aziz OUHADI,6.91,0.376,FastestQualifier,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,4,NA,Hasanain Hasan ZUBAIYEN,6.98,0.225,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,4,NA,Kieron ROGERS,7.04,0.321,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,4,NA,Courtney Carl WILLIAMS,7.35,0.27,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,4,NA,Joshua JEREMIAH,7.5,0.368,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,5,NA,Marc BURNS,6.69,0.227,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,5,NA,Justyn WARNER,6.75,0.214,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,5,NA,Jeremy BASCOM,6.9,0.182,FastestQualifier,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,5,NA,Mateo EDWARD,6.91,0.243,FastestQualifier,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,5,NA,Roy RAVANA,7.17,0.184,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,5,NA,Mikel DE SA,7.51,0.361,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,5,NA,Joseph Andy LUI,7.71,0.406,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,5,NA,Chencho GYELTSHEN,NA,NA,DNS,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,6,NA,Trell KIMMONS,6.7,0.26,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,6,NA,Rytis SAKALAUSKAS,6.87,0.367,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,6,NA,Achitbileg BATTULGA,7.03,0.272,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,6,NA,Ahmed AZNEEM,7.33,0.305,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,6,NA,Roman CRESS,7.43,0.402,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,6,NA,John HOWARD,NA,-0.12,Disqualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,6,NA,Tim ABEYIE,NA,-0.277,Disqualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,7,NA,Justin GATLIN,6.64,0.25,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,7,NA,Reza GHASEMI,6.87,0.335,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,7,NA,Holder DA SILVA,6.95,0.233,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,7,NA,Chun Ho LAI,6.97,0.321,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,7,NA,Mosito LEHATA,7,0.299,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,7,NA,Jean Thierie FERDINAND,7.05,0.165,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,7,NA,Dominic CARROLL,7.5,0.259,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,8,NA,Dwain CHAMBERS,6.65,0.171,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,8,NA,Michael LEBLANC,6.74,0.145,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,8,NA,Bingtian SU,6.84,0.416,FastestQualifier,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,8,NA,Amr Ibrahim Mostafa SEOUD,6.89,0.339,FastestQualifier,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,8,NA,Imran KHAN,7.21,0.222,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,8,NA,Shakyll LOURENS,7.49,0.295,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,8,NA,Tavevele NOA,7.61,0.211,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,1,8,NA,Alhassane KEITA,8.12,0.338,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,1,NA,Justin GATLIN,6.5,0.158,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,1,NA,Aziz OUHADI,6.68,0.142,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,1,NA,Rytis SAKALAUSKAS,6.69,0.211,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,1,NA,Michael LEBLANC,6.71,0.128,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,1,NA,Simone COLLIO,6.71,0.135,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,1,NA,Ben Youssef MEITE,6.71,0.165,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,1,NA,Peter EMELIEZE,6.81,0.297,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,1,NA,Amr Ibrahim Mostafa SEOUD,6.83,0.252,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,2,NA,Nesta CARTER,6.56,0.155,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,2,NA,Dwain CHAMBERS,6.62,0.155,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,2,NA,Emmanuel BIRON,6.65,0.166,FastestQualifier,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,2,NA,Jeremy BASCOM,6.77,0.135,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,2,NA,Christian BLUM,6.79,0.157,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,2,NA,Reza GHASEMI,6.79,0.199,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,2,NA,Brijesh LAWRENCE,6.8,0.192,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,2,NA,Foo Ee YEO,6.93,0.217,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,3,NA,Trell KIMMONS,6.61,0.162,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,3,NA,Marc BURNS,6.62,0.129,Qualified,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,3,NA,Justyn WARNER,6.67,0.14,FastestQualifier,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,3,NA,Angel David RODRIGUEZ,6.71,0.214,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,3,NA,Bingtian SU,6.74,0.337,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,3,NA,Mateo EDWARD,6.91,0.195,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,3,NA,Nilson ANDRE,6.93,0.219,Eliminated,2010-2014
Worlds,Mens,60m,2012,Istanbul,2,3,NA,Gerald PHIRI,NA,NA,DNS,2010-2014
Worlds,Mens,60m,2012,Istanbul,3,1,NA,Justin GATLIN,6.46,0.149,Gold,2010-2014
Worlds,Mens,60m,2012,Istanbul,3,1,NA,Nesta CARTER,6.54,0.143,Silver,2010-2014
Worlds,Mens,60m,2012,Istanbul,3,1,NA,Dwain CHAMBERS,6.6,0.131,Bronze,2010-2014
Worlds,Mens,60m,2012,Istanbul,3,1,NA,Trell KIMMONS,6.6,0.145,Finalist,2010-2014
Worlds,Mens,60m,2012,Istanbul,3,1,NA,Marc BURNS,6.62,0.148,Finalist,2010-2014
Worlds,Mens,60m,2012,Istanbul,3,1,NA,Emmanuel BIRON,6.63,0.161,Finalist,2010-2014
Worlds,Mens,60m,2012,Istanbul,3,1,NA,Justyn WARNER,6.65,0.139,Finalist,2010-2014
Worlds,Mens,60m,2012,Istanbul,3,1,NA,Aziz OUHADI,6.72,0.168,Finalist,2010-2014
Worlds,Mens,60m,2010,Doha,1,1,NA,Trell KIMMONS,6.61,0.179,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,1,NA,Samuel FRANCIS,6.63,0.13,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,1,NA,Abraham MORLU,6.68,0.128,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,1,NA,Masashi ERIGUCHI,6.75,0.139,FastestQualifier,2010-2014
Worlds,Mens,60m,2010,Doha,1,1,NA,Teddy TINMAR,6.88,0.198,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,1,NA,Calvin KANG LI LOONG,6.91,0.168,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,1,NA,Danny D'SOUZA,6.97,0.147,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,1,NA,Jared LEWIS,7.06,0.172,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,2,NA,Dwain CHAMBERS,6.59,0.155,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,2,NA,Ogho-Oghene EGWERO,6.73,0.168,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,2,NA,Ibrahim KABIA,6.76,0.217,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,2,NA,Chun Ho LAI,6.88,0.175,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,2,NA,Aggelos AGGELAKIS,6.94,0.296,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,2,NA,John HOWARD,7.3,0.166,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,2,NA,Moussa CAMARA,7.39,0.189,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,3,NA,Brian MARIANO,6.66,0.148,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,3,NA,Barakat Mubarak AL-HARTHI,6.69,0.148,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,3,NA,Harry AIKINES-ARYEETEY,6.72,0.226,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,3,NA,Aleksandr VASHURKIN,6.75,0.227,FastestQualifier,2010-2014
Worlds,Mens,60m,2010,Doha,1,3,NA,Yasser AL-NASHRI,6.83,0.136,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,3,NA,Wei-Chen YI,6.96,0.21,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,3,NA,Leon MENGLOI,7.45,0.229,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,3,NA,Quaski ITAIA,7.66,0.176,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,4,NA,Mike RODGERS,6.69,0.168,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,4,NA,Rodney GREEN,6.73,0.164,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,4,NA,Ronald POGNON,6.73,0.142,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,4,NA,Ben Youssef MEITE,6.76,0.198,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,4,NA,Martin KRABBE,6.79,0.166,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,4,NA,David LESCAY,6.79,0.136,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,4,NA,Jack IROGA,7.35,0.277,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,5,NA,Angel David RODRIGUEZ,6.67,0.176,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,5,NA,Nesta CARTER,6.69,0.218,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,5,NA,Vicente DE LIMA,6.75,0.165,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,5,NA,Roman SMIRNOV,6.75,0.152,FastestQualifier,2010-2014
Worlds,Mens,60m,2010,Doha,1,5,NA,Moses KAMUT,7.32,0.184,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,5,NA,Yacouba MAMANE,7.5,0.184,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,5,NA,Rolf Malcolm FONGUE,NA,NA,Disqualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,5,NA,Mohamed FAISAL,NA,NA,DNS,2010-2014
Worlds,Mens,60m,2010,Doha,1,6,NA,Ryan MOSELEY,6.76,0.166,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,6,NA,Pascal MANCINI,6.77,0.229,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,6,NA,Churandy MARTINA,6.77,0.218,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,6,NA,Lerone CLARKE,6.78,0.151,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,6,NA,Adrian FERREIRA,7.26,0.187,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,6,NA,Federico GORRIERI,7.31,0.2,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,6,NA,Sibusiso MATSENJWA,7.39,0.358,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,6,NA,Jalal KASSAB,7.65,0.161,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,7,NA,Daniel BAILEY,6.7,0.151,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,7,NA,Reza GHASEMI,6.78,0.274,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,7,NA,Peter EMELIEZE,6.78,0.181,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,1,7,NA,Ivon MOCHOLI,6.79,0.168,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,7,NA,Holder DA SILVA,7.07,0.161,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,7,NA,George PINE,7.46,0.283,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,1,7,NA,Tiraa ARERE,7.64,0.201,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,2,1,NA,Dwain CHAMBERS,6.51,0.158,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,2,1,NA,Nesta CARTER,6.64,0.162,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,2,1,NA,Peter EMELIEZE,6.66,0.14,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,2,1,NA,Abraham MORLU,6.67,0.152,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,2,1,NA,Barakat Mubarak AL-HARTHI,6.67,0.149,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,2,1,NA,Angel David RODRIGUEZ,6.67,0.156,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,2,1,NA,Masashi ERIGUCHI,6.69,0.134,Eliminated,2010-2014
