Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FinishTime,ReactionTime,Result
Europeans,Mens,60m,2013,Gotenburg,1,1,NA,Catalin CÓmpeanu,6.64,0.149,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,1,NA,Julian Reus,6.64,0.149,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,1,NA,Harry Aikines-Aryeetey,6.65,0.15,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,1,NA,Emmanuel Biron,6.72,0.166,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,1,NA,Rolf Fongu_,6.73,0.135,FastestQualifier
Europeans,Mens,60m,2013,Gotenburg,1,1,NA,Tom Kling-Baptiste ,6.74,0.153,FastestQualifier
Europeans,Mens,60m,2013,Gotenburg,1,1,NA,Diogo Antunes,6.81,0.187,Eliminated
Europeans,Mens,60m,2013,Gotenburg,1,1,NA,Mikel De Sa,7.36,0.162,Eliminated
Europeans,Mens,60m,2013,Gotenburg,1,2,NA,Jimmy Vicaut,6.55,0.146,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,2,NA,Jaysuma Saidy Ndure,6.65,0.134,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,2,NA, Simone Collio,6.72,0.169,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,2,NA,Odain Rose,6.74,0.168,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,2,NA,Dwain Chambers,6.78,0.143,Eliminated
Europeans,Mens,60m,2013,Gotenburg,1,2,NA,Visa Hongisto,6.79,0.152,Eliminated
Europeans,Mens,60m,2013,Gotenburg,1,2,NA,Riste Pandev,6.95,0.185,Eliminated
Europeans,Mens,60m,2013,Gotenburg,1,2,NA,Dominic Carroll,7.44,0.167,Eliminated
Europeans,Mens,60m,2013,Gotenburg,1,3,NA,Michael Tumi,6.59,0.158,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,3,NA,James Dasaolu,6.62,0.176,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,3,NA,Aleksandr Brednev,6.68,0.156,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,3,NA,Stefan T_rnhuvud,6.73,0.17,Qualified
Europeans,Mens,60m,2013,Gotenburg,1,3,NA,Ricardo Monteiro,6.74,0.156,FastestQualifier
Europeans,Mens,60m,2013,Gotenburg,1,3,NA,Adam Zavack_,6.76,0.167,FastestQualifier
Europeans,Mens,60m,2013,Gotenburg,2,1,NA,Michael Tumi,6.58,0.158,Qualified
Europeans,Mens,60m,2013,Gotenburg,2,1,NA,Jaysuma Saidy Ndure,6.59,0.133,Qualified
Europeans,Mens,60m,2013,Gotenburg,2,1,NA,Harry Aikines-Aryeetey,6.64,0.159,Qualified
Europeans,Mens,60m,2013,Gotenburg,2,1,NA,Emmanuel Biron,6.65,0.132,Qualified
Europeans,Mens,60m,2013,Gotenburg,2,1,NA,Catalin CÓmpeanu,6.66,0.154,Eliminated
Europeans,Mens,60m,2013,Gotenburg,2,1,NA,Stefan T_rnhuvud,6.67,0.145,Eliminated
Europeans,Mens,60m,2013,Gotenburg,2,1,NA,Tom Kling-Baptiste,6.73,0.143,Eliminated
Europeans,Mens,60m,2013,Gotenburg,2,1,NA,Ricardo Monteiro,6.76,0.152,Eliminated
Europeans,Mens,60m,2013,Gotenburg,2,2,NA,James Dasaolu,6.52,0.159,Qualified
Europeans,Mens,60m,2013,Gotenburg,2,2,NA,Jimmy Vicaut,6.6,0.162,Qualified
Europeans,Mens,60m,2013,Gotenburg,2,2,NA,Odain Rose,6.63,0.15,Qualified
Europeans,Mens,60m,2013,Gotenburg,2,2,NA,Julian Reus,6.66,0.145,Qualified
Europeans,Mens,60m,2013,Gotenburg,2,2,NA,Rolf Fongu_,6.75,0.157,Eliminated
Europeans,Mens,60m,2013,Gotenburg,2,2,NA,Adam Zavack_,6.75,0.163,Eliminated
Europeans,Mens,60m,2013,Gotenburg,2,2,NA,Aleksandr Brednev,6.75,0.185,Eliminated
Europeans,Mens,60m,2013,Gotenburg,2,2,NA,Simone Collio,6.89,0.152,Eliminated
Europeans,Mens,60m,2013,Gotenburg,3,1,NA,Jimmy Vicaut,6.48,0.153,Gold
Europeans,Mens,60m,2013,Gotenburg,3,1,NA,James Dasaolu,6.48,0.151,Silver
Europeans,Mens,60m,2013,Gotenburg,3,1,NA,Michael Tumi,6.52,0.16,Bronze
Europeans,Mens,60m,2013,Gotenburg,3,1,NA,Jaysuma Saidy Ndure,6.61,0.149,Finalist
Europeans,Mens,60m,2013,Gotenburg,3,1,NA,Odain Rose,6.62,0.147,Finalist
Europeans,Mens,60m,2013,Gotenburg,3,1,NA,Julian Reus,6.62,0.137,Finalist
Europeans,Mens,60m,2013,Gotenburg,3,1,NA,Harry Aikines-Aryeetey,6.63,0.15,Finalist
Europeans,Mens,60m,2013,Gotenburg,3,1,NA,Emmanuel Biron,6.63,0.151,Finalist
Europeans,Mens,60m,2011,Paris,1,1,NA,Pascal Mancini,6.61,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,1,NA,Brian Mariano,6.68,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,1,NA,Rytis Sakalauskas,6.7,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,1,NA, Libor _ilka,6.71,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,1,NA,Michael Tumi,6.72,NA,FastestQualifier
Europeans,Mens,60m,2011,Paris,1,1,NA,Christian Blum,6.8,NA,Eliminated
Europeans,Mens,60m,2011,Paris,1,1,NA,Federico Gorrieri,7.13,NA,Eliminated
Europeans,Mens,60m,2011,Paris,1,1,NA,Andrew Cavilla,7.61,NA,Eliminated
Europeans,Mens,60m,2011,Paris,1,2,NA,Francis Obikwelu,6.61,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,2,NA,Martial Mbandjock,6.66,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,2,NA,Emanuele Di Gregorio,6.7,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,2,NA,Ivàn MocholÕ,6.74,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,2,NA,Dario Horvat,6.81,NA,Eliminated
Europeans,Mens,60m,2011,Paris,1,2,NA,Harry Aikines-Aryeetey,6.94,NA,Eliminated
Europeans,Mens,60m,2011,Paris,1,2,NA, Ilija Cvijeti_,6.94,NA,Eliminated
Europeans,Mens,60m,2011,Paris,1,3,NA,Christophe Lemaitre,6.59,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,3,NA,C_dric Nabe,6.64,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,3,NA,Arnaldo Abrantes,6.65,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,3,NA,Ryan Moseley,6.69,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,3,NA,Jan Veleba,6.69,NA,FastestQualifier
Europeans,Mens,60m,2011,Paris,1,3,NA,Ruslan Abbasov,6.77,NA,Eliminated
Europeans,Mens,60m,2011,Paris,1,3,NA,Jarkko Ruostekivi,6.82,NA,Eliminated
Europeans,Mens,60m,2011,Paris,1,4,NA,Ronalds Ar_js,6.7,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,4,NA,Joel Fearon,6.7,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,4,NA,Patrick van Luijk,6.71,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,4,NA,Stefan T_rnhuvud,6.72,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,4,NA,Hannu H_m_l_inen,6.75,NA,FastestQualifier
Europeans,Mens,60m,2011,Paris,1,4,NA,Aleksandr Shpayer,6.75,NA,FastestQualifier
Europeans,Mens,60m,2011,Paris,1,4,NA,Arman Andreasyan,6.93,NA,Eliminated
Europeans,Mens,60m,2011,Paris,1,5,NA,Jonathan Åstrand,6.7,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,5,NA,Aliaksandr Linnik,6.7,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,5,NA,Dwain Chambers,6.71,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,5,NA,çngel David RodrÕguez,6.74,NA,Qualified
Europeans,Mens,60m,2011,Paris,1,5,NA,çggelos Aggelàkis,6.77,NA,Eliminated
Europeans,Mens,60m,2011,Paris,1,5,NA,Panayiotis Ioannou,6.8,NA,Eliminated
Europeans,Mens,60m,2011,Paris,2,1,NA,Dwain Chambers,6.61,0.148,Qualified
Europeans,Mens,60m,2011,Paris,2,1,NA,Martial Mbandjock,6.61,0.158,Qualified
Europeans,Mens,60m,2011,Paris,2,1,NA,Arnaldo Abrantes,6.66,0.15,Eliminated
Europeans,Mens,60m,2011,Paris,2,1,NA,Pascal Mancini,6.67,0.153,Eliminated
Europeans,Mens,60m,2011,Paris,2,1,NA,Libor _ilka,6.68,0.146,Eliminated
Europeans,Mens,60m,2011,Paris,2,1,NA,Aleksandr Shpayer,6.68,0.159,Eliminated
Europeans,Mens,60m,2011,Paris,2,1,NA,çngel David RodrÕguez,6.76,0.143,Eliminated
